cycle,subject,measure,value
0.925,boy33,Knee Angle,9.0
0.925,boy34,Hip Angle,55.0
0.925,boy34,Knee Angle,26.0
0.925,boy35,Hip Angle,50.0
0.925,boy35,Knee Angle,10.0
0.925,boy36,Hip Angle,52.0
0.925,boy36,Knee Angle,23.0
0.925,boy37,Hip Angle,38.0
0.925,boy37,Knee Angle,7.0
0.925,boy38,Hip Angle,59.0
0.925,boy38,Knee Angle,28.0
0.925,boy39,Hip Angle,61.0
0.925,boy39,Knee Angle,25.0
0.975,boy1,Hip Angle,35.0
0.975,boy1,Knee Angle,11.0
0.975,boy2,Hip Angle,43.0
0.975,boy2,Knee Angle,16.0
0.975,boy3,Hip Angle,49.0
0.975,boy3,Knee Angle,14.0
0.975,boy4,Hip Angle,32.0
0.975,boy4,Knee Angle,0.0
0.975,boy5,Hip Angle,28.0
0.975,boy5,Knee Angle,4.0
0.975,boy6,Hip Angle,55.0
0.975,boy6,Knee Angle,9.0
0.975,boy7,Hip Angle,41.0
0.975,boy7,Knee Angle,3.0
0.975,boy8,Hip Angle,43.0
0.975,boy8,Knee Angle,5.0
0.975,boy9,Hip Angle,47.0
0.975,boy9,Knee Angle,10.0
0.975,boy10,Hip Angle,39.0
0.975,boy10,Knee Angle,16.0
0.975,boy11,Hip Angle,40.0
0.975,boy11,Knee Angle,6.0
0.975,boy12,Hip Angle,39.0
0.975,boy12,Knee Angle,5.0
0.975,boy13,Hip Angle,36.0
0.975,boy13,Knee Angle,12.0
0.975,boy14,Hip Angle,37.0
0.975,boy14,Knee Angle,10.0
0.975,boy15,Hip Angle,46.0
0.975,boy15,Knee Angle,8.0
0.975,boy16,Hip Angle,46.0
0.975,boy16,Knee Angle,13.0
0.975,boy17,Hip Angle,51.0
0.975,boy17,Knee Angle,16.0
0.975,boy18,Hip Angle,46.0
0.975,boy18,Knee Angle,11.0
0.975,boy19,Hip Angle,34.0
0.975,boy19,Knee Angle,15.0
0.975,boy20,Hip Angle,42.0
0.975,boy20,Knee Angle,10.0
0.975,boy21,Hip Angle,50.0
0.975,boy21,Knee Angle,16.0
0.975,boy22,Hip Angle,46.0
0.975,boy22,Knee Angle,13.0
0.975,boy23,Hip Angle,58.0
0.975,boy23,Knee Angle,8.0
0.975,boy24,Hip Angle,44.0
0.975,boy24,Knee Angle,12.0
0.975,boy25,Hip Angle,38.0
0.975,boy25,Knee Angle,9.0
0.975,boy26,Hip Angle,34.0
0.975,boy26,Knee Angle,15.0
0.975,boy27,Hip Angle,37.0
0.975,boy27,Knee Angle,18.0
0.975,boy28,Hip Angle,46.0
0.975,boy28,Knee Angle,16.0
0.975,boy29,Hip Angle,40.0
0.975,boy29,Knee Angle,11.0
0.975,boy30,Hip Angle,42.0
0.975,boy30,Knee Angle,8.0
0.975,boy31,Hip Angle,58.0
0.975,boy31,Knee Angle,19.0
0.975,boy32,Hip Angle,52.0
0.975,boy32,Knee Angle,14.0
0.975,boy33,Hip Angle,29.0
0.975,boy33,Knee Angle,6.0
0.975,boy34,Hip Angle,43.0
0.975,boy34,Knee Angle,3.0
0.975,boy35,Hip Angle,47.0
0.975,boy35,Knee Angle,9.0
0.975,boy36,Hip Angle,46.0
0.975,boy36,Knee Angle,16.0
0.975,boy37,Hip Angle,35.0
0.975,boy37,Knee Angle,7.0
0.975,boy38,Hip Angle,59.0
0.975,boy38,Knee Angle,20.0
0.975,boy39,Hip Angle,55.0
0.975,boy39,Knee Angle,15.0
